age_1,age_2
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
[17;31[,17
